codigo_pliego;nombre_municipalidad;tipo;departamento;provincia;distrito
300001;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;MUNICIPALIDAD PROVINCIAL;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
300002;MUNICIPALIDAD DISTRITAL DE ASUNCION;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;ASUNCION
300003;MUNICIPALIDAD DISTRITAL DE BALSAS;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;BALSAS
300004;MUNICIPALIDAD DISTRITAL DE CHETO;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;CHETO
300005;MUNICIPALIDAD DISTRITAL DE CHILIQUIN;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;CHILIQUIN
300006;MUNICIPALIDAD DISTRITAL DE CHUQUIBAMBA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA
300007;MUNICIPALIDAD DISTRITAL DE GRANADA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;GRANADA
300008;MUNICIPALIDAD DISTRITAL DE HUANCAS;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;HUANCAS
300009;MUNICIPALIDAD DISTRITAL DE LA JALCA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;LA JALCA
300010;MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA
300011;MUNICIPALIDAD DISTRITAL DE LEVANTO;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;LEVANTO
300012;MUNICIPALIDAD DISTRITAL DE MAGDALENA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;MAGDALENA
300013;MUNICIPALIDAD DISTRITAL DE MARISCAL CASTILLA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA
300014;MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA
300015;MUNICIPALIDAD DISTRITAL DE MONTEVIDEO;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;MONTEVIDEO
300016;MUNICIPALIDAD DISTRITAL DE OLLEROS;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;OLLEROS
300017;MUNICIPALIDAD DISTRITAL DE QUINJALCA;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;QUINJALCA
300018;MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE DAGUAS;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS
300019;MUNICIPALIDAD DISTRITAL DE SAN ISIDRO DE MAINO;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO
300020;MUNICIPALIDAD DISTRITAL DE SOLOCO;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;SOLOCO
300021;MUNICIPALIDAD DISTRITAL DE SONCHE;MUNICIPALIDAD DISTRITAL;AMAZONAS;CHACHAPOYAS;SONCHE
300022;MUNICIPALIDAD PROVINCIAL DE BAGUA;MUNICIPALIDAD PROVINCIAL;AMAZONAS;BAGUA;BAGUA
300023;MUNICIPALIDAD DISTRITAL DE ARAMANGO;MUNICIPALIDAD DISTRITAL;AMAZONAS;BAGUA;ARAMANGO
300024;MUNICIPALIDAD DISTRITAL DE COPALLIN;MUNICIPALIDAD DISTRITAL;AMAZONAS;BAGUA;COPALLIN
300025;MUNICIPALIDAD DISTRITAL DE EL PARCO;MUNICIPALIDAD DISTRITAL;AMAZONAS;BAGUA;EL PARCO
300026;MUNICIPALIDAD DISTRITAL DE IMAZA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BAGUA;IMAZA
300027;MUNICIPALIDAD DISTRITAL DE LA PECA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BAGUA;LA PECA
300028;MUNICIPALIDAD PROVINCIAL DE BONGARA - JUMBILLA;MUNICIPALIDAD PROVINCIAL;AMAZONAS;BONGARA;JUMBILLA
300029;MUNICIPALIDAD DISTRITAL DE CHISQUILLA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;CHISQUILLA
300030;MUNICIPALIDAD DISTRITAL DE CHURUJA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;CHURUJA
300031;MUNICIPALIDAD DISTRITAL DE COROSHA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;COROSHA
300032;MUNICIPALIDAD DISTRITAL DE CUISPES;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;CUISPES
300033;MUNICIPALIDAD DISTRITAL DE FLORIDA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;FLORIDA
300034;MUNICIPALIDAD DISTRITAL DE JAZAN;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;JAZAN
300035;MUNICIPALIDAD DISTRITAL DE RECTA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;RECTA
300036;MUNICIPALIDAD DISTRITAL DE SAN CARLOS;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;SAN CARLOS
300037;MUNICIPALIDAD DISTRITAL DE SHIPASBAMBA;MUNICIPALIDAD DISTRITAL;AMAZONAS;BONGARA;SHIPASBAMBA
